Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
7/3/03,Kuwait,1,0,1
7/3/03,Malaysia,5,2,3
7/3/03,Mongolia,9,0,9
7/3/03,New Zealand,1,0,1
7/3/03,Philippines,14,2,12
7/3/03,Republic of Ireland,1,0,1
7/3/03,Republic of Korea,3,0,3
7/3/03,Romania,1,0,1
7/3/03,Russian Federation,1,0,0
7/3/03,Singapore,206,32,171
7/3/03,South Africa,1,1,0
7/3/03,Spain,1,0,1
7/3/03,Sweden,3,0,3
7/3/03,Switzerland,1,0,1
7/3/03,Thailand,9,2,7
7/3/03,United Kingdom,4,0,4
7/3/03,United States,73,0,65
7/3/03,Viet Nam,63,5,58
7/4/03,Brazil,1,0,1
7/4/03,Canada,251,38,193
7/4/03,China,5327,348,4934
7/4/03,"Hong Kong SAR, China",1755,298,1430
7/4/03,"Macao SAR, China",1,0,1
7/4/03,"Taiwan, China",674,84,500
7/4/03,Colombia,1,0,1
7/4/03,Finland,1,0,1
7/4/03,France,7,0,6
7/4/03,Germany,10,0,9
7/4/03,India,3,0,3
7/4/03,Indonesia,2,0,2
7/4/03,Italy,4,0,4
7/4/03,Kuwait,1,0,1
7/4/03,Malaysia,5,2,3
7/4/03,Mongolia,9,0,9
7/4/03,New Zealand,1,0,1
7/4/03,Philippines,14,2,12
7/4/03,Republic of Ireland,1,0,1
7/4/03,Republic of Korea,3,0,3
7/4/03,Romania,1,0,1
7/4/03,Russian Federation,1,0,0
7/4/03,Singapore,206,32,171
7/4/03,South Africa,1,1,0
7/4/03,Spain,1,0,1
7/4/03,Sweden,3,0,3
7/4/03,Switzerland,1,0,1
7/4/03,Thailand,9,2,7
7/4/03,United Kingdom,4,0,4
7/4/03,United States,73,0,65
7/4/03,Viet Nam,63,5,58
7/7/03,Brazil,1,0,1
7/7/03,Canada,251,38,193
7/7/03,China,5327,348,4934
7/7/03,"Hong Kong SAR, China",1755,298,1430
7/7/03,"Macao SAR, China",1,0,1
7/7/03,"Taiwan, China",674,84,500
7/7/03,Colombia,1,0,1
7/7/03,Finland,1,0,1
7/7/03,France,7,0,6
7/7/03,Germany,10,0,9
7/7/03,India,3,0,3
7/7/03,Indonesia,2,0,2
7/7/03,Italy,4,0,4
7/7/03,Kuwait,1,0,1
7/7/03,Malaysia,5,2,3
7/7/03,Mongolia,9,0,9
7/7/03,New Zealand,1,0,1
7/7/03,Philippines,14,2,12
7/7/03,Republic of Ireland,1,0,1
7/7/03,Republic of Korea,3,0,3
7/7/03,Romania,1,0,1
7/7/03,Russian Federation,1,0,0
7/7/03,Singapore,206,32,171
7/7/03,South Africa,1,1,0
7/7/03,Spain,1,0,1
7/7/03,Sweden,3,0,3
7/7/03,Switzerland,1,0,1
7/7/03,Thailand,9,2,7
7/7/03,United Kingdom,4,0,4
7/7/03,United States,73,0,65
7/7/03,Viet Nam,63,5,58
7/8/03,Brazil,1,0,1
7/8/03,Canada,250,38,194
7/8/03,China,5327,348,4934
7/8/03,"Hong Kong SAR, China",1755,298,1430
7/8/03,"Macao SAR, China",1,0,1
7/8/03,"Taiwan, China",671,84,502
7/8/03,Colombia,1,0,1
7/8/03,Finland,1,0,1
7/8/03,France,7,0,6
7/8/03,Germany,10,0,9
7/8/03,India,3,0,3
7/8/03,Indonesia,2,0,2
7/8/03,Italy,4,0,4
7/8/03,Kuwait,1,0,1
7/8/03,Malaysia,5,2,3
7/8/03,Mongolia,9,0,9
7/8/03,New Zealand,1,0,1
7/8/03,Philippines,14,2,12
7/8/03,Republic of Ireland,1,0,1
7/8/03,Republic of Korea,3,0,3
7/8/03,Romania,1,0,1
7/8/03,Russian Federation,1,0,0
7/8/03,Singapore,206,32,171
7/8/03,South Africa,1,1,0
7/8/03,Spain,1,0,1
7/8/03,Sweden,3,0,3
7/8/03,Switzerland,1,0,1
7/8/03,Thailand,9,2,7
7/8/03,United Kingdom,4,0,4
7/8/03,United States,74,0,64
7/8/03,Viet Nam,63,5,58
7/9/03,Brazil,1,0,1
7/9/03,Canada,249,38,193
7/9/03,China,5327,348,4939
7/9/03,"Hong Kong SAR, China",1755,298,1431
7/9/03,"Macao SAR, China",1,0,1
7/9/03,"Taiwan, China",671,84,504
7/9/03,Colombia,1,0,1
7/9/03,Finland,1,0,1
7/9/03,France,7,0,6
7/9/03,Germany,10,0,9
7/9/03,India,3,0,3
7/9/03,Indonesia,2,0,2
7/9/03,Italy,4,0,4
7/9/03,Kuwait,1,0,1
7/9/03,Malaysia,5,2,3
7/9/03,Mongolia,9,0,9
7/9/03,New Zealand,1,0,1
7/9/03,Philippines,14,2,12
7/9/03,Republic of Ireland,1,0,1
7/9/03,Republic of Korea,3,0,3
7/9/03,Romania,1,0,1
7/9/03,Russian Federation,1,0,0
7/9/03,Singapore,206,32,171
7/9/03,South Africa,1,1,0
7/9/03,Spain,1,0,1
7/9/03,Sweden,3,0,3
7/9/03,Switzerland,1,0,1
7/9/03,Thailand,9,2,7
7/9/03,United Kingdom,4,0,4
7/9/03,United States,75,0,67
7/9/03,Viet Nam,63,5,58
7/10/03,Brazil,1,0,1
7/10/03,Canada,250,38,194
7/10/03,China,5327,348,4941
7/10/03,"Hong Kong SAR, China",1755,298,1431
7/10/03,"Macao SAR, China",1,0,1
7/10/03,"Taiwan, China",671,84,506
7/10/03,Colombia,1,0,1
7/10/03,Finland,1,0,1
7/10/03,France,7,0,6
7/10/03,Germany,10,0,9
7/10/03,India,3,0,3
7/10/03,Indonesia,2,0,2
7/10/03,Italy,4,0,4
7/10/03,Kuwait,1,0,1
7/10/03,Malaysia,5,2,3
7/10/03,Mongolia,9,0,9
7/10/03,New Zealand,1,0,1
7/10/03,Philippines,14,2,12
7/10/03,Republic of Ireland,1,0,1
7/10/03,Republic of Korea,3,0,3
7/10/03,Romania,1,0,1
7/10/03,Russian Federation,1,0,0
7/10/03,Singapore,206,32,172
7/10/03,South Africa,1,1,0
7/10/03,Spain,1,0,1
7/10/03,Sweden,3,0,3
7/10/03,Switzerland,1,0,1
7/10/03,Thailand,9,2,7
7/10/03,United Kingdom,4,0,4
7/10/03,United States,75,0,67
7/10/03,Viet Nam,63,5,58
7/11/03,Brazil,1,0,1
7/11/03,Canada,250,38,194
7/11/03,China,5327,348,4941
7/11/03,"Hong Kong SAR, China",1755,298,1433
7/11/03,"Macao SAR, China",1,0,1
7/11/03,"Taiwan, China",671,84,507
7/11/03,Colombia,1,0,1
7/11/03,Finland,1,0,1
7/11/03,France,7,1,6
7/11/03,Germany,10,0,9
7/11/03,India,3,0,3
7/11/03,Indonesia,2,0,2
7/11/03,Italy,4,0,4
7/11/03,Kuwait,1,0,1
7/11/03,Malaysia,5,2,3
7/11/03,Mongolia,9,0,9
7/11/03,New Zealand,1,0,1
7/11/03,Philippines,14,2,12
7/11/03,Republic of Ireland,1,0,1
7/11/03,Republic of Korea,3,0,3
7/11/03,Romania,1,0,1
7/11/03,Russian Federation,1,0,0
7/11/03,Singapore,206,32,172
7/11/03,South Africa,1,1,0
7/11/03,Spain,1,0,1
7/11/03,Sweden,3,0,3
7/11/03,Switzerland,1,0,1
7/11/03,Thailand,9,2,7
7/11/03,United Kingdom,4,0,4
7/11/03,United States,75,0,67
7/11/03,Viet Nam,63,5,58
